id,Temp,Hour,Min,Sec
1,NaN,1,32,25
2,20.25,1,32,25
3,20.0,1,32,25
4,20.5,1,32,25
5,20.5,1,32,26
6,20.5,1,32,26
7,20.5,1,32,26
8,20.5,1,32,27
9,20.5,1,32,27
10,20.5,1,32,27
11,20.75,1,32,28
12,20.75,1,32,28
13,20.5,1,32,28
14,20.5,1,32,28
15,20.75,1,32,29
16,20.5,1,32,29
17,20.75,1,32,29
18,20.25,1,32,30
19,20.25,1,32,30
20,20.25,1,32,30
21,19.75,1,32,31
22,20.75,1,32,31
23,20.0,1,32,31
24,20.25,1,32,32
25,20.75,1,32,32
26,20.5,1,32,32
27,20.75,1,32,32
28,20.25,1,32,33
29,20.75,1,32,33
30,20.0,1,32,33
31,20.0,1,32,34
32,20.5,1,32,34
33,20.5,1,32,34
34,20.5,1,32,35
35,20.75,1,32,35
36,20.5,1,32,35
37,20.75,1,32,35
38,20.5,1,32,36
39,20.25,1,32,36
40,20.5,1,32,36
41,20.25,1,32,37
42,20.25,1,32,37
43,20.5,1,32,37
44,20.5,1,32,38
45,20.75,1,32,38
46,20.75,1,32,38
47,20.5,1,32,38
48,20.25,1,32,39
49,20.5,1,32,39
50,20.75,1,32,39
